CANDIDATE_NAME,CONSTITUENCY_CODE,CONSTITUENCY_NAME,EVM_VOTES,PARTY,POSTAL VOTES,STATE_CODE,STATE_NAME,TOTAL_VOTES,VOTING_PERCENTAGE
ANURUDDH KUMAR DUBE,2,NORTH EAST DELHI,419,Bharat Lok Sewak Party,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,419,0.03
ABHINAV KUMAR,2,NORTH EAST DELHI,309,Sanyukt Vikas Party,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,309,0.02
AMIT KUMAR SHARMA,2,NORTH EAST DELHI,419,Sanjhi Virasat Party,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,419,0.03
J. K. JAIN,2,NORTH EAST DELHI,456,Jai Prakash Janata Dal,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,456,0.03
DAN BAHADUR YADAV,2,NORTH EAST DELHI,434,Bhartiya Janta Dal (Integrated),1,U05,NATIONAL CAPITAL TERRITORY OF DELHI,435,0.03
D. DURGA PRASAD,2,NORTH EAST DELHI,684,Challengers Party,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,684,0.05
PRADESH KUMAR,2,NORTH EAST DELHI,740,Sarvodaya Prabhat Party,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,740,0.05
MAHENDER PASWAN,2,NORTH EAST DELHI,792,Mazdoor Kirayedar Vikas Party,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,792,0.05
MUKESH,2,NORTH EAST DELHI,1472,Aapki Apni Party (Peoples),3,U05,NATIONAL CAPITAL TERRITORY OF DELHI,1475,0.1
MANAGER CHAURASIYA,2,NORTH EAST DELHI,1749,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,1749,0.12
MOHD. IRFAN,2,NORTH EAST DELHI,1746,Bharat Prabhat Party,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,1746,0.12
SUNIL VISHVAKARMA,2,NORTH EAST DELHI,2147,Ambedkar National Congress,1,U05,NATIONAL CAPITAL TERRITORY OF DELHI,2148,0.15
MOHD. HASAN,2,NORTH EAST DELHI,1342,Republican Party of India (A),1,U05,NATIONAL CAPITAL TERRITORY OF DELHI,1343,0.09
MD. AKRAM,2,NORTH EAST DELHI,805,Independent,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,805,0.06
ANIL KUMAR YADAV,2,NORTH EAST DELHI,1242,Independent,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,1242,0.08
AMRENDER KUMAR,2,NORTH EAST DELHI,531,Independent,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,531,0.04
MAHFOOZ KHAN,2,NORTH EAST DELHI,302,Independent,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,302,0.02
YOGESH SWAMY,2,NORTH EAST DELHI,544,Independent,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,544,0.04
S N SINGH,2,NORTH EAST DELHI,742,Independent,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,742,0.05
GUGAN SINGH,5,NORTH WEST DELHI,294662,Aam Aadmi Party,104,U05,NATIONAL CAPITAL TERRITORY OF DELHI,294766,21.01
RAJESH LILOTHIA,5,NORTH WEST DELHI,236803,Indian National Congress,79,U05,NATIONAL CAPITAL TERRITORY OF DELHI,236882,16.88
HANS RAJ HANS,5,NORTH WEST DELHI,847737,Bharatiya Janata Party,926,U05,NATIONAL CAPITAL TERRITORY OF DELHI,848663,60.49
ISHWAR MANSUKH ISHU,5,NORTH WEST DELHI,2348,Satya Bahumat Party,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,2348,0.17
GAURAV BHATIA,5,NORTH WEST DELHI,874,Mazdoor Kirayedar Vikas Party,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,874,0.06
MADAN LAL BALMIKI,5,NORTH WEST DELHI,1175,Rashtriya Samrasta Party,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,1175,0.08
RAM KUMAR,5,NORTH WEST DELHI,724,Bhartiya Pragatisheel Congress,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,724,0.05
SURESH KUMAR,5,NORTH WEST DELHI,805,Socialist Janata Party,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,805,0.06
ADITI,5,NORTH WEST DELHI,1464,Independent,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,1464,0.1
"CHARAN SINGH ""BABRIK""",5,NORTH WEST DELHI,2915,Independent,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,2915,0.21
NAVEEN,5,NORTH WEST DELHI,2136,Independent,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,2136,0.15
RAMESH BIDHURI,7,SOUTH DELHI,685789,Bharatiya Janata Party,1225,U05,NATIONAL CAPITAL TERRITORY OF DELHI,687014,56.58
RAGHAV CHADHA,7,SOUTH DELHI,319770,Aam Aadmi Party,201,U05,NATIONAL CAPITAL TERRITORY OF DELHI,319971,26.35
VIJENDER,7,SOUTH DELHI,164394,Indian National Congress,219,U05,NATIONAL CAPITAL TERRITORY OF DELHI,164613,13.56
SIDDHANT GAUTAM,7,SOUTH DELHI,14721,Bahujan Samaj Party,40,U05,NATIONAL CAPITAL TERRITORY OF DELHI,14761,1.22
ADITYA KUMAR NAVEEN,7,SOUTH DELHI,3892,Hum Bhartiya Party,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,3892,0.32
D. K. CHOPRA,7,SOUTH DELHI,366,All India Forward Bloc,1,U05,NATIONAL CAPITAL TERRITORY OF DELHI,367,0.03
JITENDRA SHARMA,7,SOUTH DELHI,200,Prism,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,200,0.02
DALBIR SINGH MALIK,7,SOUTH DELHI,314,Voters Party  International,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,314,0.03
DILIP KUMAR,7,SOUTH DELHI,472,Sanatan Sanskriti Raksha Dal,1,U05,NATIONAL CAPITAL TERRITORY OF DELHI,473,0.04
DEEPAK KUMAR,7,SOUTH DELHI,929,Aapki Apni Party (Peoples),0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,929,0.08
DESH KUMAR,7,SOUTH DELHI,403,Akhil Bharatiya Jan Sangh,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,403,0.03
NAVANIT,7,SOUTH DELHI,334,National Youth Party,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,334,0.03
MAHENDER SINGH CHURIYANA,7,SOUTH DELHI,1019,Peoples Party of India (Democratic),0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,1019,0.08
MATHEWS,7,SOUTH DELHI,1139,Bhartiya Insan Party,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,1139,0.09
MOHAN KUMAR GUPTA,7,SOUTH DELHI,969,Mazdoor Kirayedar Vikas Party,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,969,0.08
RAJENDRA PRASAD GUPTA,7,SOUTH DELHI,1897,Parivartan Samaj Party,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,1897,0.16
RAM KHILAWAN,7,SOUTH DELHI,2541,"Proutist Bloc, India",0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,2541,0.21
K. ROSHAN KUMAR,7,SOUTH DELHI,1399,Pyramid Party of India,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,1399,0.12
SUMAN YADAV,7,SOUTH DELHI,1531,Jai Maha Bharath Party,6,U05,NATIONAL CAPITAL TERRITORY OF DELHI,1537,0.13
SUMEDHA BODH,7,SOUTH DELHI,1708,Jan Samman party,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,1708,0.14
SOBRAN SINGH CHAUHAN,7,SOUTH DELHI,278,Rashtriya Rashtrawadi Party,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,278,0.02
SANDEEP GUPTA,7,SOUTH DELHI,370,Rashtriya Jan  Adhikar Party,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,370,0.03
NAUSHA KHAN,7,SOUTH DELHI,214,Independent,1,U05,NATIONAL CAPITAL TERRITORY OF DELHI,215,0.02
BIRJU NAYAK,7,SOUTH DELHI,390,Independent,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,390,0.03
ROSHAN KUMAR CHOUDHARY,7,SOUTH DELHI,731,Independent,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,731,0.06
SUNIL KUMAR,7,SOUTH DELHI,390,Independent,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,390,0.03
HARSH NATH VERMA,7,SOUTH DELHI,1104,Independent,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,1104,0.09
PARVESH SAHIB SINGH VERMA,6,WEST DELHI,862058,Bharatiya Janata Party,3590,U05,NATIONAL CAPITAL TERRITORY OF DELHI,865648,60.05
BALBIR SINGH JAKHAR,6,WEST DELHI,251504,Aam Aadmi Party,369,U05,NATIONAL CAPITAL TERRITORY OF DELHI,251873,17.47
MAHABAL MISHRA,6,WEST DELHI,286745,Indian National Congress,417,U05,NATIONAL CAPITAL TERRITORY OF DELHI,287162,19.92
SITA SARAN SEN,6,WEST DELHI,13202,Bahujan Samaj Party,67,U05,NATIONAL CAPITAL TERRITORY OF DELHI,13269,0.92
KULWINDER SINGH MEHTA,6,WEST DELHI,542,Pyramid Party of India,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,542,0.04
JANAK RAJ RANA,6,WEST DELHI,329,Akhand Rashtrawadi Party,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,329,0.02
DAYA NAND VATS,6,WEST DELHI,379,Republican Party of India (A),0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,379,0.03
DHARAMBIR SINGH,6,WEST DELHI,551,Rashtriya Janshakti Party (Secular),0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,551,0.04
POONAM UJJAINWAL,6,WEST DELHI,928,Peoples Party of India (Democratic),7,U05,NATIONAL CAPITAL TERRITORY OF DELHI,935,0.06
PROBIR DUTTA,6,WEST DELHI,328,Satya Bahumat Party,1,U05,NATIONAL CAPITAL TERRITORY OF DELHI,329,0.02
BAIDYANATH SAH,6,WEST DELHI,467,"Proutist Bloc, India",0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,467,0.03
MANMOHAN SINGH,6,WEST DELHI,444,Rashtra Nirman Party,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,444,0.03
VIKASH KUMAR MOHAL,6,WEST DELHI,894,Aapki Apni Party (Peoples),1,U05,NATIONAL CAPITAL TERRITORY OF DELHI,895,0.06
SHASHI JEET,6,WEST DELHI,718,National Youth Party,1,U05,NATIONAL CAPITAL TERRITORY OF DELHI,719,0.05
SHISH PAL SINGH,6,WEST DELHI,538,Prism,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,538,0.04
IQBAL SINGH (SONU),6,WEST DELHI,2181,Independent,5,U05,NATIONAL CAPITAL TERRITORY OF DELHI,2186,0.15
NAVIN CHANDRA DAS,6,WEST DELHI,1706,Independent,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,1706,0.12
PRAVESH SHARMA,6,WEST DELHI,1755,Independent,2,U05,NATIONAL CAPITAL TERRITORY OF DELHI,1757,0.12
BALBIR SINGH,6,WEST DELHI,1024,Independent,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,1024,0.07
M. MISHRA,6,WEST DELHI,652,Independent,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,652,0.05
RAMESH CHAND VERMA,6,WEST DELHI,312,Independent,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,312,0.02
RAJIV KUMAR,6,WEST DELHI,365,Independent,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,365,0.03
HARSH VARDHAN SHUKLA,6,WEST DELHI,582,Independent,0,U05,NATIONAL CAPITAL TERRITORY OF DELHI,582,0.04
ANITA SUBHADARSHINI,19,ASKA,346249,Bharatiya Janata Party,1793,S18,ODISHA,348042,34.33
PURNA CHANDRA NAYAK,19,ASKA,8527,Bahujan Samaj Party,22,S18,ODISHA,8549,0.84
PRAMILA BISOYI,19,ASKA,552364,Biju Janata Dal,385,S18,ODISHA,552749,54.52
RAMA KRUSHNA PANDA,19,ASKA,59889,Communist Party of India,89,S18,ODISHA,59978,5.92
RAJEEB CHANDRA KHADANGA,19,ASKA,5984,All India Forward Bloc,3,S18,ODISHA,5987,0.59
SANKAR SAHU,19,ASKA,5995,Communist Party of India (Marxist-Leninist) Red Star,4,S18,ODISHA,5999,0.59
CHAKRADHAR SAHU,19,ASKA,7733,Independent,5,S18,ODISHA,7738,0.76
K. SHYAMBABU SUBUDHI,19,ASKA,7470,Independent,6,S18,ODISHA,7476,0.74
NAVAJYOTI PATNAIK,6,BALASORE,179070,Indian National Congress,333,S18,ODISHA,179403,15.49
PRATAP CHANDRA SARANGI,6,BALASORE,481438,Bharatiya Janata Party,2420,S18,ODISHA,483858,41.79
RABINDRA KUMAR JENA,6,BALASORE,470242,Biju Janata Dal,660,S18,ODISHA,470902,40.67
HAJI SK ABDUL ISTAR,6,BALASORE,3898,All India Trinamool Congress,2,S18,ODISHA,3900,0.34
MOHAMMED ALLI,6,BALASORE,1349,Ambedkar National Congress,7,S18,ODISHA,1356,0.12
RAMAKANTA PANDA,6,BALASORE,1241,Purvanchal Janta Party (Secular),0,S18,ODISHA,1241,0.11
SUBHASH,6,BALASORE,823,Pragatishil Samajwadi Party (Lohia),2,S18,ODISHA,825,0.07
JAGANNATH DAS,6,BALASORE,813,Independent,3,S18,ODISHA,816,0.07
BASANTALATA PATTANAYAK,6,BALASORE,1419,Independent,3,S18,ODISHA,1422,0.12
JADUNATH SETHI,6,BALASORE,1675,Independent,1,S18,ODISHA,1676,0.14
RAMANATH BARIK,6,BALASORE,2451,Independent,3,S18,ODISHA,2454,0.21
SAROJ KUMAR PANDA,6,BALASORE,2580,Independent,2,S18,ODISHA,2582,0.22
KOUSIKA SUNA,1,BARGARH,10980,Bahujan Samaj Party,76,S18,ODISHA,11056,0.89
PRADEEP KUMAR DEBTA,1,BARGARH,108898,Indian National Congress,519,S18,ODISHA,109417,8.77
PRASANNA ACHARYA,1,BARGARH,516229,Biju Janata Dal,1077,S18,ODISHA,517306,41.45
SURESH PUJARI,1,BARGARH,577074,Bharatiya Janata Party,4171,S18,ODISHA,581245,46.58
KULAMANI URMA,1,BARGARH,8342,Independent,4,S18,ODISHA,8346,0.67
M D NIZAMUDDIN,1,BARGARH,6370,Independent,5,S18,ODISHA,6375,0.51
V.CHANDRASEKHAR NAIDU,20,BERHAMPUR,142372,Indian National Congress,260,S18,ODISHA,142632,14.41
CHANDRA SEKHAR SAHU,20,BERHAMPUR,443145,Biju Janata Dal,698,S18,ODISHA,443843,44.84
TIRUPATHI RAO KARANAM,20,BERHAMPUR,8252,Bahujan Samaj Party,38,S18,ODISHA,8290,0.84
BHRUGU BAXIPATRA,20,BERHAMPUR,347302,Bharatiya Janata Party,1697,S18,ODISHA,348999,35.26
SRIHARI PATNAIK,20,BERHAMPUR,8293,Odisha Pragati Dal,11,S18,ODISHA,8304,0.84
SOMANATH BEHERA,20,BERHAMPUR,8283,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),13,S18,ODISHA,8296,0.84
CHAKRADHAR SAHU,20,BERHAMPUR,7076,Independent,5,S18,ODISHA,7081,0.72
K. SHYAMBABU SUBUDHI,20,BERHAMPUR,8077,Independent,7,S18,ODISHA,8084,0.82
AVIMANYU SETHI,7,BHADRAK,480122,Bharatiya Janata Party,3380,S18,ODISHA,483502,39.51
TILOTTAMA JENA,7,BHADRAK,3312,All India Trinamool Congress,15,S18,ODISHA,3327,0.27
MADHUMITA SETHI,7,BHADRAK,207235,Indian National Congress,576,S18,ODISHA,207811,16.98
MANJULATA MANDAL,7,BHADRAK,511032,Biju Janata Dal,1273,S18,ODISHA,512305,41.86
MURALIDHAR JENA,7,BHADRAK,4694,Bahujan Samaj Party,14,S18,ODISHA,4708,0.38
KIRTAN BIHARI MALIK,7,BHADRAK,1428,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2,S18,ODISHA,1430,0.12
LAXMIPRIYA JENA,7,BHADRAK,1551,Kalinga Sena,5,S18,ODISHA,1556,0.13
PITAMBAR SETHI,7,BHADRAK,2574,Independent,5,S18,ODISHA,2579,0.21
APARAJITA SARANGI,18,BHUBANESWAR,485793,Bharatiya Janata Party,1198,S18,ODISHA,486991,48.45
ARUP MOHAN PATNAIK,18,BHUBANESWAR,462911,Biju Janata Dal,241,S18,ODISHA,463152,46.07
JANARDAN PATI,18,BHUBANESWAR,22993,Communist Party of India  (Marxist),33,S18,ODISHA,23026,2.29
SUBHRANSHU SEKHAR PADHI,18,BHUBANESWAR,2330,All India Trinamool Congress,14,S18,ODISHA,2344,0.23
LALITA KUMAR NAYAK,18,BHUBANESWAR,2774,Bahujan Samaj Party,6,S18,ODISHA,2780,0.28
PRAMILA BEHERA,18,BHUBANESWAR,1474,Communist Party of India (Marxist-Leninist) Red Star,8,S18,ODISHA,1482,0.15
BISWANATH ROUT,18,BHUBANESWAR,2814,Krupaa Party,2,S18,ODISHA,2816,0.28
BISWANATH RAMACHANDRA,18,BHUBANESWAR,1497,Freethought Party of India,0,S18,ODISHA,1497,0.15
BHAKTA SEKHAR RAY,18,BHUBANESWAR,1381,Kalinga Sena,1,S18,ODISHA,1382,0.14
JAYANT KUMAR DAS,18,BHUBANESWAR,2360,Independent,0,S18,ODISHA,2360,0.23
MADHU SUDAN YADAV,18,BHUBANESWAR,1200,Independent,0,S18,ODISHA,1200,0.12
MAHESH CHANDRA SETHI,18,BHUBANESWAR,1491,Independent,0,S18,ODISHA,1491,0.15
SANJAYA KUMAR SAHOO,18,BHUBANESWAR,5873,Independent,0,S18,ODISHA,5873,0.58
SUSIL KUMAR JENA,18,BHUBANESWAR,2665,Independent,0,S18,ODISHA,2665,0.27
KALIKESH NARAYAN SINGH DEO,10,BOLANGIR,478183,Biju Janata Dal,387,S18,ODISHA,478570,36.62
RANA NAG,10,BOLANGIR,12191,Bahujan Samaj Party,38,S18,ODISHA,12229,0.94
SAMARENDRA MISHRA,10,BOLANGIR,270712,Indian National Congress,344,S18,ODISHA,271056,20.74
SANGEETA KUMARI SINGH DEO,10,BOLANGIR,496237,Bharatiya Janata Party,1849,S18,ODISHA,498086,38.12
DINESH NAG,10,BOLANGIR,13902,Ambedkarite Party of India,17,S18,ODISHA,13919,1.07
SURESH KUMAR PUTEL,10,BOLANGIR,5258,Bahujan Mukti Party,3,S18,ODISHA,5261,0.4
HRUDANANDA KARUAN,10,BOLANGIR,5505,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3,S18,ODISHA,5508,0.42
DR. BIPIN KUSULIA,10,BOLANGIR,6073,Independent,2,S18,ODISHA,6075,0.46
PANCHANAN KANUNGO,14,CUTTACK,99742,Indian National Congress,105,S18,ODISHA,99847,9.42
PRAKASH MISHRA,14,CUTTACK,401959,Bharatiya Janata Party,1432,S18,ODISHA,403391,38.07
PRAMOD KUMAR MALLICK,14,CUTTACK,4395,Bahujan Samaj Party,13,S18,ODISHA,4408,0.42
BHARTRUHARI MAHTAB,14,CUTTACK,524117,Biju Janata Dal,475,S18,ODISHA,524592,49.51
AKSHAYA KUMAR KAR,14,CUTTACK,3822,Krupaa Party,1,S18,ODISHA,3823,0.36
BISWAJIT GOSWAMI,14,CUTTACK,1358,Kalinga Sena,0,S18,ODISHA,1358,0.13
RAJAKISHORE MALLIK,14,CUTTACK,2754,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2,S18,ODISHA,2756,0.26
SOMIYA RANJAN DAS,14,CUTTACK,1404,Bharat Prabhat Party,5,S18,ODISHA,1409,0.13
ASHOK PRADHAN,14,CUTTACK,1355,Independent,2,S18,ODISHA,1357,0.13
BRUNDABAN DAS AZAD,14,CUTTACK,3414,Independent,0,S18,ODISHA,3414,0.32
SANJAYA KUMAR SAHOO,14,CUTTACK,5897,Independent,2,S18,ODISHA,5899,0.56
RAJA KAMAKHYA PRASAD SINGH DEO,9,DHENKANAL,79987,Indian National Congress,362,S18,ODISHA,80349,7.1
PRADYUMNA KUMAR NAIK,9,DHENKANAL,7741,Bahujan Samaj Party,48,S18,ODISHA,7789,0.69
MAHESH SAHOO,9,DHENKANAL,521954,Biju Janata Dal,930,S18,ODISHA,522884,46.21
RUDRA NARAYAN PANY,9,DHENKANAL,483978,Bharatiya Janata Party,3494,S18,ODISHA,487472,43.08
PRIYABRATA GARNAIK,9,DHENKANAL,6940,Hindusthan Nirman Dal,6,S18,ODISHA,6946,0.61
BIJAYA KUMAR BEHERA,9,DHENKANAL,4736,Ambedkarite Party of India,6,S18,ODISHA,4742,0.42
MANASI SWAIN,9,DHENKANAL,3285,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),10,S18,ODISHA,3295,0.29
RANJAN KUMAR SAHOO,9,DHENKANAL,2913,Bhartiya Manavadhikaar Federal Party,1,S18,ODISHA,2914,0.26
SAROJ KUMAR SATPATHY,9,DHENKANAL,3874,Samata Kranti Dal,3,S18,ODISHA,3877,0.34
PRATIMA MALLICK,16,JAGATSINGHPUR,239114,Indian National Congress,570,S18,ODISHA,239684,19.5
BIBHU PRASAD TARAI,16,JAGATSINGHPUR,346398,Bharatiya Janata Party,1932,S18,ODISHA,348330,28.34
BIBHUTI BHUSAN MAJHI,16,JAGATSINGHPUR,5226,Bahujan Samaj Party,18,S18,ODISHA,5244,0.43
RAJASHREE MALLICK,16,JAGATSINGHPUR,618955,Biju Janata Dal,1030,S18,ODISHA,619985,50.44
ANIL KUMAR BEHERA,16,JAGATSINGHPUR,3585,Freethought Party of India,1,S18,ODISHA,3586,0.29
JAGANNATH MEGH,16,JAGATSINGHPUR,1237,Jai Prakash Janata Dal,0,S18,ODISHA,1237,0.1
DIPAK KUMAR DAS,16,JAGATSINGHPUR,1503,Akhil Bharat Hindu Mahasabha,0,S18,ODISHA,1503,0.12
PEEYUUSH DAS,16,JAGATSINGHPUR,1751,Ambedkarite Party of India,0,S18,ODISHA,1751,0.14
SASMITA DAS,16,JAGATSINGHPUR,1804,Independent,9,S18,ODISHA,1813,0.15
AMIYA KANTA MALLICK,8,JAJPUR,438171,Bharatiya Janata Party,4156,S18,ODISHA,442327,40.5
MANAS JENA,8,JAJPUR,82834,Indian National Congress,487,S18,ODISHA,83321,7.63
SARMISTHA SETHI,8,JAJPUR,542476,Biju Janata Dal,1544,S18,ODISHA,544020,49.81
TILOTTAMA SETHY,8,JAJPUR,4467,"Proutist Bloc, India",3,S18,ODISHA,4470,0.41
BHIMA SEN BEHERA,8,JAJPUR,1794,Freethought Party of India,7,S18,ODISHA,1801,0.16
RANJIT MALIK,8,JAJPUR,2041,Bahujan Mukti Party,8,S18,ODISHA,2049,0.19
SUNAKAR BEHERA,8,JAJPUR,1982,Jai Prakash Janata Dal,3,S18,ODISHA,1985,0.18
SUBASA CHANDRA MALIK,8,JAJPUR,4934,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),16,S18,ODISHA,4950,0.45
PUSPENDRA SINGH DEO,11,KALAHANDI,405641,Biju Janata Dal,619,S18,ODISHA,406260,33.08
PREMANANDA BAG,11,KALAHANDI,10416,Bahujan Samaj Party,32,S18,ODISHA,10448,0.85
BASANTA KUMAR PANDA,11,KALAHANDI,429710,Bharatiya Janata Party,3364,S18,ODISHA,433074,35.26
BHAKTA CHARAN DAS,11,KALAHANDI,317915,Indian National Congress,1287,S18,ODISHA,319202,25.99
KAMALINI YADAV,11,KALAHANDI,15833,Bahujan Mukti Party,31,S18,ODISHA,15864,1.29
CHHABILAL NIAL,11,KALAHANDI,12391,Ambedkarite Party of India,18,S18,ODISHA,12409,1.01
HATIRAM DURGA,11,KALAHANDI,9828,Independent,8,S18,ODISHA,9836,0.8
ACHYUTANANDA SAMANTA,13,KANDHAMAL,461154,Biju Janata Dal,525,S18,ODISHA,461679,49.01
AMIR NAYAK,13,KANDHAMAL,7289,Bahujan Samaj Party,25,S18,ODISHA,7314,0.78
MANOJ KUMAR ACHARYA,13,KANDHAMAL,138647,Indian National Congress,346,S18,ODISHA,138993,14.76
MAHAMEGHABAHAN AIRA KHARABELA SWAIN,13,KANDHAMAL,310883,Bharatiya Janata Party,1580,S18,ODISHA,312463,33.17
TUNA MALLICK,13,KANDHAMAL,8278,Communist Party of India (Marxist-Leninist) Red Star,5,S18,ODISHA,8283,0.88
ANUBHAV MOHANTY,15,KENDRAPARA,628109,Biju Janata Dal,830,S18,ODISHA,628939,50.87
DHARANIDHAR NAYAK,15,KENDRAPARA,113648,Indian National Congress,193,S18,ODISHA,113841,9.21
BAIJAYANT PANDA,15,KENDRAPARA,474051,Bharatiya Janata Party,2304,S18,ODISHA,476355,38.53
RABINDRA NATH BEHERA,15,KENDRAPARA,5133,Samajwadi Party,5,S18,ODISHA,5138,0.42
SRIKANTA SAMAL,15,KENDRAPARA,1866,Krupaa Party,2,S18,ODISHA,1868,0.15
SANTOSH KUMAR DAS,15,KENDRAPARA,1455,Independent,1,S18,ODISHA,1456,0.12
SANTOSH KUMAR PATRA,15,KENDRAPARA,2279,Independent,2,S18,ODISHA,2281,0.18
ANANTA NAYAK,4,KEONJHAR,458064,Bharatiya Janata Party,2092,S18,ODISHA,460156,39.12
CHANDRANI MURMU,4,KEONJHAR,525886,Biju Janata Dal,473,S18,ODISHA,526359,44.75
DURGA CHANDRA PINGUA,4,KEONJHAR,9296,Bahujan Samaj Party,12,S18,ODISHA,9308,0.79
MOHAN KUMAR HEMBRAM,4,KEONJHAR,128542,Indian National Congress,174,S18,ODISHA,128716,10.94
PRAFULLA NAYAK,4,KEONJHAR,5864,All India Forward Bloc,2,S18,ODISHA,5866,0.5
RAMESH LAGURI,4,KEONJHAR,5723,Bahujan Mukti Party,5,S18,ODISHA,5728,0.49
DR. SUDARSHAN LOHAR,4,KEONJHAR,10911,Rashtriya Indepndent Morcha,3,S18,ODISHA,10914,0.93
LALMOHAN HANSDA,4,KEONJHAR,10036,Akhil Bharat Hindu Mahasabha,2,S18,ODISHA,10038,0.85
KAUSALYA HIKAKA,21,KORAPUT,366812,Biju Janata Dal,704,S18,ODISHA,367516,34.02
JAYARAM PANGI,21,KORAPUT,206153,Bharatiya Janata Party,2245,S18,ODISHA,208398,19.29
BHASKAR MUTUKA,21,KORAPUT,35668,Bahujan Samaj Party,96,S18,ODISHA,35764,3.31
SAPTAGIRI SANKAR ULAKA,21,KORAPUT,370434,Indian National Congress,695,S18,ODISHA,371129,34.36
DAMODARA SABAR,21,KORAPUT,26112,Communist Party of India  (Marxist-Leninist)  (Liberation),5,S18,ODISHA,26117,2.42
BANAMALI MAJHI,21,KORAPUT,18842,Ambedkarite Party of India,7,S18,ODISHA,18849,1.75
RAJENDRA KENDRUKA,21,KORAPUT,15826,Communist Party of India (Marxist-Leninist) Red Star,1,S18,ODISHA,15827,1.47
DR DEBASHIS MARNDI,5,MAYURBHANJ,457676,Biju Janata Dal,880,S18,ODISHA,458556,39.86
BISHWESWAR TUDU,5,MAYURBHANJ,480253,Bharatiya Janata Party,3559,S18,ODISHA,483812,42.06
RAMCHANDRA SINGH,5,MAYURBHANJ,10223,Bahujan Samaj Party,17,S18,ODISHA,10240,0.89
ANJANI SOREN,5,MAYURBHANJ,135265,Jharkhand Mukti Morcha,287,S18,ODISHA,135552,11.78
BHARAT CHANDRA SINGH,5,MAYURBHANJ,9300,Bahujan Mukti Party,15,S18,ODISHA,9315,0.81
NANDA KISHORE KISKU,5,MAYURBHANJ,6879,Independent,10,S18,ODISHA,6889,0.6
PARBATI PURTY,5,MAYURBHANJ,13905,Independent,32,S18,ODISHA,13937,1.21
